Sample_ID	collection_date	env_broad_scale	env_local_scale	env_medium	sample_name	Sitename	depth
SRR17937133	2020-08	Freshwater biome	Freshwater|Taylor Slough 02	Freshwater|marsh	TS2_R3_F6	TS2	45mm
SRR17937134	2020-08	Freshwater biome	Freshwater|Taylor Slough 02	Freshwater|marsh	TS2_R3_F4	TS2	63mm
SRR17937135	2020-08	Freshwater biome	Freshwater|Taylor Slough 02	Freshwater|marsh	TS2_R3_F2	TS2	81mm
SRR17937136	2020-08	Freshwater biome	Freshwater|Taylor Slough 02	Freshwater|marsh	TS2_R3_F11	TS2	09mm
SRR17937137	2020-08	Freshwater biome	Freshwater|Taylor Slough 02	Freshwater|marsh	TS2_R2_F8	TS2	27mm
SRR17937138	2020-08	Freshwater biome	Freshwater|Taylor Slough 02	Freshwater|marsh	TS2_R2_F6	TS2	45mm
SRR17937139	2020-08	Freshwater biome	Freshwater|Taylor Slough 02	Freshwater|marsh	TS2_R2_F4	TS2	63mm
SRR17937140	2020-08	Freshwater biome	Freshwater|Taylor Slough 02	Freshwater|marsh	TS2_R2_F2	TS2	81mm
SRR17937141	2020-08	Freshwater biome	Freshwater|Taylor Slough 02	Freshwater|marsh	TS2_R2_F11	TS2	09mm
SRR17937142	2020-08	Freshwater biome	Freshwater|Shark River Slough 1	Freshwater|marsh	SRS1_R3_F8	SRS1	27mm
SRR17937143	2020-08	Freshwater biome	Freshwater|Taylor Slough 02	Freshwater|marsh	TS2_R1_F8	TS2	27mm
SRR17937144	2020-08	Freshwater biome	Freshwater|Taylor Slough 02	Freshwater|marsh	TS2_R1_F6	TS2	45mm
SRR17937145	2020-08	Freshwater biome	Freshwater|Taylor Slough 02	Freshwater|marsh	TS2_R1_F4	TS2	63mm
SRR17937146	2020-08	Freshwater biome	Freshwater|Taylor Slough 02	Freshwater|marsh	TS2_R1_F2	TS2	81mm
SRR17937147	2020-08	Freshwater biome	Freshwater|Taylor Slough 02	Freshwater|marsh	TS2_R1_F11	TS2	09mm
SRR17937148	2020-08	Seagrass biome	Seagrass|Taylor Slough 11	Seagrass|mud	TS11_R3_F8	TS11	27mm
SRR17937149	2020-08	Seagrass biome	Seagrass|Taylor Slough 11	Seagrass|mud	TS11_R3_F6	TS11	45mm
SRR17937150	2020-08	Seagrass biome	Seagrass|Taylor Slough 11	Seagrass|mud	TS11_R3_F4	TS11	63mm
SRR17937151	2020-08	Seagrass biome	Seagrass|Taylor Slough 11	Seagrass|mud	TS11_R3_F2	TS11	81mm
SRR17937152	2020-08	Seagrass biome	Seagrass|Taylor Slough 11	Seagrass|mud	TS11_R3_F10	TS11	09mm
SRR17937153	2020-08	Freshwater biome	Freshwater|Shark River Slough 1	Freshwater|marsh	SRS1_R3_F6	SRS1	45mm
SRR17937154	2020-08	Seagrass biome	Seagrass|Taylor Slough 11	Seagrass|mud	TS11_R2_F8	TS11	27mm
SRR17937155	2020-08	Seagrass biome	Seagrass|Taylor Slough 11	Seagrass|mud	TS11_R2_F6	TS11	45mm
SRR17937156	2020-08	Seagrass biome	Seagrass|Taylor Slough 11	Seagrass|mud	TS11_R2_F4	TS11	63mm
SRR17937157	2020-08	Seagrass biome	Seagrass|Taylor Slough 11	Seagrass|mud	TS11_R2_F2	TS11	81mm
SRR17937158	2020-08	Seagrass biome	Seagrass|Taylor Slough 11	Seagrass|mud	TS11_R2_F10	TS11	09mm
SRR17937159	2020-08	Seagrass biome	Seagrass|Taylor Slough 11	Seagrass|mud	TS11_R1_F8	TS11	27mm
SRR17937160	2020-08	Seagrass biome	Seagrass|Taylor Slough 11	Seagrass|mud	TS11_R1_F6	TS11	45mm
SRR17937161	2020-08	Seagrass biome	Seagrass|Taylor Slough 11	Seagrass|mud	TS11_R1_F4	TS11	63mm
SRR17937162	2020-08	Seagrass biome	Seagrass|Taylor Slough 11	Seagrass|mud	TS11_R1_F2	TS11	81mm
SRR17937163	2020-08	Seagrass biome	Seagrass|Taylor Slough 11	Seagrass|mud	TS11_R1_F10	TS11	09mm
SRR17937164	2020-08	Freshwater biome	Freshwater|Shark River Slough 1	Freshwater|marsh	SRS1_R3_F4	SRS1	63mm
SRR17937165	2020-08	Seagrass biome	Seagrass|Taylor Slough 10	Seagrass|mud	TS10_R3_F8	TS10	27mm
SRR17937166	2020-08	Seagrass biome	Seagrass|Taylor Slough 10	Seagrass|mud	TS10_R3_F6	TS10	45mm
SRR17937167	2020-08	Seagrass biome	Seagrass|Taylor Slough 10	Seagrass|mud	TS10_R3_F4	TS10	63mm
SRR17937168	2020-08	Seagrass biome	Seagrass|Taylor Slough 10	Seagrass|mud	TS10_R3_F2	TS10	81mm
SRR17937169	2020-08	Seagrass biome	Seagrass|Taylor Slough 10	Seagrass|mud	TS10_R3_F10	TS10	09mm
SRR17937170	2020-08	Seagrass biome	Seagrass|Taylor Slough 10	Seagrass|mud	TS10_R2_F8	TS10	27mm
SRR17937171	2020-08	Seagrass biome	Seagrass|Taylor Slough 10	Seagrass|mud	TS10_R2_F6	TS10	45mm
SRR17937172	2020-08	Seagrass biome	Seagrass|Taylor Slough 10	Seagrass|mud	TS10_R2_F4	TS10	63mm
SRR17937173	2020-08	Seagrass biome	Seagrass|Taylor Slough 10	Seagrass|mud	TS10_R2_F2	TS10	81mm
SRR17937174	2020-08	Seagrass biome	Seagrass|Taylor Slough 10	Seagrass|mud	TS10_R2_F10	TS10	09mm
SRR17937175	2020-08	Freshwater biome	Freshwater|Shark River Slough 1	Freshwater|marsh	SRS1_R3_F2	SRS1	81mm
SRR17937176	2020-08	Seagrass biome	Seagrass|Taylor Slough 10	Seagrass|mud	TS10_R1_F8	TS10	27mm
SRR17937177	2020-08	Seagrass biome	Seagrass|Taylor Slough 10	Seagrass|mud	TS10_R1_F6	TS10	45mm
SRR17937178	2020-08	Seagrass biome	Seagrass|Taylor Slough 10	Seagrass|mud	TS10_R1_F4	TS10	63mm
SRR17937179	2020-08	Seagrass biome	Seagrass|Taylor Slough 10	Seagrass|mud	TS10_R1_F2	TS10	81mm
SRR17937180	2020-08	Seagrass biome	Seagrass|Taylor Slough 10	Seagrass|mud	TS10_R1_F10	TS10	09mm
SRR17937181	2020-08	Freshwater biome	Freshwater|Taylor Slough 01	Freshwater|marsh	TS1_R3_F9	TS1	27mm
SRR17937182	2020-08	Freshwater biome	Freshwater|Taylor Slough 01	Freshwater|marsh	TS1_R3_F7	TS1	45mm
SRR17937183	2020-08	Freshwater biome	Freshwater|Taylor Slough 01	Freshwater|marsh	TS1_R3_F5	TS1	63mm
SRR17937184	2020-08	Freshwater biome	Freshwater|Taylor Slough 01	Freshwater|marsh	TS1_R3_F3	TS1	81mm
SRR17937185	2020-08	Freshwater biome	Freshwater|Taylor Slough 01	Freshwater|marsh	TS1_R3_F11	TS1	09mm
SRR17937186	2020-08	Freshwater biome	Freshwater|Shark River Slough 1	Freshwater|marsh	SRS1_R3_F10	SRS1	09mm
SRR17937187	2020-08	Freshwater biome	Freshwater|Shark River Slough 1	Freshwater|marsh	SRS1_R1_F2	SRS1	81mm
SRR17937188	2020-08	Freshwater biome	Freshwater|Shark River Slough 1	Freshwater|marsh	SRS1_R1_F10	SRS1	09mm
SRR24906812	2017-08	Mangrove biome	wetland water	surface water	pre-TS6-0.22	TS6	surface
SRR24906813	2017-08	Freshwater biome	wetland water	surface water	pre-TS3-0.22	TS3	surface
SRR24906814	2017-08	Freshwater biome	wetland water	surface water	pre-TS2-0.22	TS2	surface
SRR24906815	2017-08	Freshwater biome	wetland water	surface water	pre-TS1-0.22	TS1	surface
SRR24906816	2017-08	Mangrove biome	wetland water	surface water	pre-SRS6-0.22	SRS6	surface
SRR24906817	2017-08	Mangrove biome	wetland water	surface water	pre-SRS5-0.22	SRS5	surface
SRR24906818	2017-08	Mangrove biome	wetland water	surface water	pre-SRS4-0.22	SRS4	surface
SRR24906819	2017-08	Freshwater biome	wetland water	surface water	pre-SRS3-0.22	SRS3	surface
SRR24906820	2017-08	Seagrass biome	wetland water	surface water	pre-TS11-0.22	TS11	surface
SRR24906821	2017-08	Seagrass biome	wetland water	surface water	pre-TS10-0.22	TS10	surface
